season,opponent,result,pace,ppp,efg,to,or,ft,pmp,tmp,tmpa,fpa,fpt,tft,oppp,oefg,oto,oor,oft,opmp,otmp,otmpa,ofpa,ofpt,otft,label,type,blind
2018-19,Auburn,L,75,1.06,48.5,18.6,35,33.9,56.8,25,43.1,17,22,77.3,1.29,67.4,14.6,27.8,25.8,65.5,45.9,56.1,8,17,47.1,Auburn L 80-97 (2018-19),NCAA Tournament,lightpink
2018-19,Washington,W,68,1.19,57.9,22,48.4,15.9,54.8,42.9,33.3,8,10,80,0.87,45.8,17.6,19.5,16.7,45.2,31,48.3,4,10,40,Washington W 81-59 (2018-19),NCAA Tournament,lightgreen
2018-19,Iona,W,73,1.2,51.3,16.4,45.5,20,52.8,31.8,29.3,11,15,73.3,1,53.6,16.4,5.9,27.3,50,36.6,74.5,14,15,93.3,Iona W 88-73 (2018-19),NCAA Tournament,lightgreen
2018-19,Duke,L,73,1.01,42.5,11,35.6,20.6,53.2,15.4,35.6,11,15,73.3,1.02,51.5,16.5,26.3,20,57.8,25,30.8,7,13,53.8,Duke L 73-74 (2018-19),ACC Tournament,lightpink
2018-19,Louisville,W,75,1.11,51.5,12,23.7,32.3,51.1,35,30.8,16,21,76.2,0.94,49.2,14.7,14.6,12.1,53.3,30.6,54.5,5,8,62.5,Louisville W 83-70 (2018-19),ACC Tournament,lightgreen
2018-19,Duke,W,77,1.03,48.6,13.1,30.4,17.6,41.9,38.7,41.9,7,13,53.8,0.91,39.7,15.7,32,23.3,41.5,25,43.8,12,17,70.6,Duke W 79-70 (2018-19),League,lightgreen
2018-19,Boston College,W,74,1.06,46.7,14.8,41.7,17.1,46.3,31.8,28.9,8,13,61.5,0.89,42.9,10.7,14.9,14.3,35.3,33.3,51.4,6,10,60,Boston College W 79-66 (2018-19),League,lightgreen
2018-19,Clemson,W,75,1.08,51.6,17.4,26.2,38.1,43.3,39.4,52.4,16,24,66.7,1.05,54.4,14.7,15.2,38.6,54.3,36.4,38.6,17,22,77.3,Clemson W 81-79 (2018-19),League,lightgreen
2018-19,Syracuse,W,72,1.3,47.6,12.5,51.4,59.7,48.5,31,46.8,34,37,91.9,1.19,60,13.9,22.2,38.3,51.7,45.2,51.7,13,23,56.5,Syracuse W 93-85 (2018-19),League,lightgreen
2018-19,Florida State,W,70,1.1,48.4,14.2,33.3,41,46.3,35,32.8,18,25,72,0.84,39,14.2,15,27.1,28.6,32.3,52.5,13,16,81.3,Florida State W 77-59 (2018-19),League,lightgreen
2018-19,Duke,W,87,1.01,52,17.2,26.3,18.7,65.5,10,26.7,10,14,71.4,0.82,40.3,22.9,26.5,26.4,51.5,20.5,54.2,14,19,73.7,Duke W 88-72 (2018-19),League,lightgreen
2018-19,Wake Forest,W,74,1.29,75.4,20.4,33.3,18,61.1,64,41,3,11,27.3,0.77,35.8,27.1,37.5,19.4,40.9,17.4,34.3,9,13,69.2,Wake Forest W 95-57 (2018-19),League,lightgreen
2018-19,UVA,L,60,1.01,42.3,13.2,40,10.8,40,30,46.2,6,7,85.7,1.14,65.6,16.6,12,40,52,55,44.4,10,18,55.6,UVA L 61-69 (2018-19),League,lightpink
2018-19,Miami,W,70,1.13,56.8,12.8,16.7,25.8,45,50,39.4,13,17,76.5,1.09,57.4,20.5,25.7,10.3,48.6,45.2,45.6,7,7,100,Miami W 88-85 (2018-19),League,lightgreen
2018-19,NC State,W,84,1.34,62.1,20.1,51.9,56.1,64.4,38.1,31.8,31,37,83.8,1.14,54.7,13,34.1,32.4,52.6,41.2,23,15,24,62.5,NC State W 113-96 (2018-19),League,lightgreen
2018-19,Louisville,W,70,1.13,46.4,14.3,41.9,27.5,51.1,25,34.8,15,19,78.9,0.98,50,15.7,18.4,14.5,48.5,34.5,46.8,7,9,77.8,Louisville W 79-69 (2018-19),League,lightgreen
2018-19,Georgia Tech,W,75,1.02,58.2,19.9,20,18,47.1,48.1,44.3,6,11,54.5,0.72,36.7,21.3,15.8,21.7,43.2,12.5,26.7,10,13,76.9,Georgia Tech W 77-54 (2018-19),League,lightgreen
2018-19,Virginia Tech,W,76,1.35,65.7,17,31.2,25.4,60.6,47.1,50.7,15,17,88.2,1.07,54.9,21,28.6,26.2,42.4,46.4,45.9,15,16,93.8,Virginia Tech W 103-82 (2018-19),League,lightgreen
2018-19,Miami,W,69,1.24,62.5,21.9,43.3,23.3,60,45,33.3,10,14,71.4,1.11,57.3,16,19.4,32.7,52.9,42.9,38.2,13,18,72.2,Miami W 85-76 (2018-19),League,lightgreen
2018-19,Notre Dame,W,72,1.04,46.3,15.3,35.6,29.4,38.3,42.9,30.9,12,20,60,0.96,49.2,15.3,18.4,22.9,45.5,35.7,45.9,9,14,64.3,Notre Dame W 75-69 (2018-19),League,lightgreen
2018-19,Louisville,L,71,0.88,37.1,19.8,30.9,46.5,47.2,13.6,37.9,19,27,70.4,1.18,62,19.8,37.9,48.1,60.7,42.3,48.1,16,26,61.5,Louisville L 62-83 (2018-19),League,lightpink
2018-19,NC State,W,85,1.06,53.1,27.1,37.8,40.6,48.7,40,39.1,22,26,84.6,0.97,48,15.3,21.3,23.3,51.1,28.6,38.4,12,17,70.6,NC State W 90-82 (2018-19),League,lightgreen
2018-19,Pittsburgh,W,76,1.12,50,14.4,36.2,23,44,41.7,32.4,11,17,64.7,0.79,32.3,19.7,32,51.6,39.5,10.5,30.6,20,32,62.5,Pittsburgh W 85-60 (2018-19),League,lightgreen
2018-19,Harvard,W,76,1.01,46.8,14.4,21.6,35.5,48.8,28.6,33.9,19,22,86.4,0.75,46.3,28.8,14.3,24.1,43.3,33.3,44.4,7,13,53.8,Harvard W 77-57 (2018-19),Non-Conference,lightgreen
2018-19,Davidson,W,77,1.07,50.9,18.2,26.5,45.8,50,34.8,39,22,27,81.5,0.78,37.3,16.9,16.7,16.4,34.5,26.3,56.7,10,11,90.9,Davidson W 82-60 (2018-19),Non-Conference,lightgreen
2018-19,Kentucky,L,83,0.87,48.4,21.8,13.5,25.4,44.4,38.9,28.6,11,16,68.8,0.97,50,21.8,30,33.9,48.7,34.6,40,15,22,68.2,Kentucky L 72-80 (2018-19),Non-Conference,lightpink
2018-19,Gonzaga,W,84,1.23,64.8,27.4,46.7,39.1,56.4,52,39.1,20,25,80,1.07,57.1,16.7,15.2,36.5,58.5,36.4,34.9,18,23,78.3,Gonzaga W 103-90 (2018-19),Non-Conference,lightgreen
