season,opponent,result,unc,opp,off1,off2,off3,uncfouls,oppfouls,sumfouls
2018-19,UVA,L,61,69,Jeffrey Anderson,Doug Shows,James Breeding,14,11,25
2018-19,Miami ,W,88,85,Roger Ayers,Bill Covington Jr.,Tony Henderson,13,16,29
2018-19,NC State,W,113,96,Michael Stephens,Jeff Clark,Brent Hampton,23,28,51
2018-19,Louisville,W,79,69,Ted Valentine,Earl Walton,Bert Smith,15,16,31
2018-19,Georgia Tech,W,77,54,Roger Ayers,Jeffrey Anderson,Pat Driscoll,13,12,25
2018-19,Virginia Tech,W,103,82,Doug Shows,John Higgins,Terry Wymer,13,18,31
2018-19,Miami,W,85,76,Bert Smith,Jeffrey Anderson,Brent Hampton,19,15,34
2018-19,Notre Dame,W,75,69,Roger Ayers,Jamie Luckie,Ted Valentine,15,16,31
2018-19,Louisville,L,62,83,Mike Eades,Bill Covington Jr.,Tony Henderson,20,21,41
2018-19,NC State,W,90,82,Doug Sirmons,Kipp Kissinger,Don Daily,20,21,41
2018-19,Pittsburgh,W,85,60,Ted Valentine,Bert Smith,Paul Szelc,24,19,43
2018-19,Harvard,W,77,57,Bill Covington Jr.,Sean Hull,Jeff Clark,13,16,29
2018-19,Davidson,W,82,60,Mike Eades,Tony Henderson,Doug Sirmons,18,12,30
2018-19,Kentucky,L,72,80,Ted Valentine,Chris Rastatter,Pat Evans,19,18,37
2018-19,Gonzaga,W,103,90,Jeffrey Anderson,Jeff Clark,Bert Smith,18,20,38
2018-19,UNC-Wilmington,W,97,69,Ron Groover,A.J. Desai,Tim Clougherty,19,19,38
2018-19,Michigan,L,67,84,Terry Wymer,D.J. Carstensen,Courtney Green,21,14,35
2018-19,UCLA,W,94,78,Roger Ayers,Lee Cassell,Kelly Self,21,23,44
2018-19,Texas,L,89,92,Roger Ayers,Mike Roberts,Kelly Self,23,18,41
2018-19,St. Francis PA,W,101,76,Michael Stephens,Tim Clougherty,Lee Cassell,20,23,43
2018-19,Tennessee Tech,W,108,58,Roger Ayers,Bert Smith,Jeremy Mosier,15,18,33
2018-19,Stanford,W,90,72,John Higgins,Keith Kimble,Kipp Kissinger,18,18,36
2018-19,Elon,W,116,67,Bill Covington Jr.,Raymond Styons,Jerry Heater,22,25,47
2018-19,Wofford,W,78,67,Bert Smith,Glenn Tuitt,Evan Berg,14,15,29
2017-18,Texas A&M,L,65,85,Pat Driscoll,Michael Irving,Eric Curry,20,13,33
2017-18,Lipscomb,W,84,66,Lamont Simpson,Tony Henderson,Bill McCarthY,17,18,35
2017-18,UVA,L,63,71,Jamie Luckie,Ron Groover,Tim Nestor,18,16,34
2017-18,Duke,W,74,69,Mike Eades,Ted Valentine,Bert Smith,15,15,30
2017-18,Miami,W,82,65,Ron Groover,Bill Covington,Raymond Styons,13,20,33
2017-18,Syracuse,W,78,59,Roger Ayers,Clarence Armstong,Bert Smith,16,18,34
2017-18,Duke,L,64,74,Roger Ayers,Mike Eades,Raymond Styons,19,12,31
2017-18,Miami,L,88,91,Ron Groover,Michael Stephens,James Breeding,16,19,35
2017-18,Syracuse,W,78,74,Tim Nestor,Mike Stuart,Joe DeRosa,14,16,30
2017-18,Louisville,W,93,76,Mike Eades,Ted Valentine,Jeffrey Anderson,19,13,32
2017-18,Notre Dame,W,83,66,Roger Ayers,Michael Stephens,Doug Shows,15,16,31
2017-18,NC State,W,96,89,James Breeding,Keith Kimble,Les Jones,16,15,31
2017-18,Duke,W,82,78,Jeff Clark,Jamie Luckie,Ron Groover,13,17,30
2017-18,Pittsburgh,W,96,65,Lee Cassell,Bert Smith,Don Daily,15,18,33
2017-18,Clemson,L,78,82,Roger Ayers,John Higgins,Doug Sirmons,20,18,38
2017-18,NC State,L,91,95,Mike Eades,Jamie Luckie,A.J. Desai,18,18,36
2017-18,Virginia Tech,L,69,80,Michael Stephens,Mike Roberts,Doug Shows,13,11,24
2017-18,Georgia Tech,W,80,66,Ted Valentine,Bill Covington Jr.,Jeb Hartness,12,23,35
2017-18,Clemson,W,87,79,Mike Eades,Les Jones,Lee Cassell,21,19,40
2017-18,Notre Dame,W,69,68,Jamie Luckie,Ed Corbett,John Gaffney,16,16,32
2017-18,Boston College,W,96,66,John Higgins,Tim Nestor,Jeffrey Anderson,15,15,30
2017-18,UVA,L,49,61,Roger Ayers,Les Jones,Pat Driscoll,12,11,23
2017-18,Florida State,L,80,81,Ted Valentine,Bill Covington Jr.,Brian O'Connell,18,9,27
2017-18,Wake Forest,W,73,69,Ron Groover,Tim Nestor,Lee Cassell,15,17,32
2017-18,Ohio State,W,86,72,Tom Eades,Pat Evans,Roger Ayers,17,22,39
2017-18,Wofford,L,75,79,Ted Valentine,Mike Eades,Bill Covington Jr.,17,25,42
2017-18,Tennessee,W,78,73,Pat Adams,Don Daily,Jamie Luckie,16,23,39
2017-18,Western Carolina,W,104,61,Tim Clougherty,Jeb Hartness,Tony Greene,9,18,27
2017-18,Tulane,W,97,73,Les Jones,Bert Smith,Tim Nestor,19,24,43
2017-18,Davidson,W,85,75,Ted Valentine,Ron Groover,Lee Cassell,14,21,35
2017-18,Michigan,W,86,71,Roger Ayers,Mike Eades,Pat Driscoll,12,16,28
2017-18,Michigan State,L,45,63,Michael Stephens,Keith Kimble,Chris Rastatter,14,23,37
2017-18,Arkansas,W,87,68,Roger Ayers,Randy McCall,A.J. Desai,13,19,32
2017-18,Portland,W,102,78,Ted Valentine,Brian Dorsey,Kelly Pfeifer,14,19,33
2017-18,Stanford,W,96,72,David Hall,Keith Kimble,Randy McCall,22,18,40
2017-18,Bucknell,W,93,81,Les Jones,Jeff Clark,Raymond Styons,19,26,45
2017-18,Northern Iowa,W,86,69,Lee Cassell,Tim Comer,A.J. Desai,15,20,35
2016-17,Gonzaga,W,71,65,Mike Eades,Verne Harris,Michael Stephens,22,22,44
2016-17,Oregon,W,77,76,Tony Padilla,Ted Valentine,Ron Groover,22,20,42
2016-17,Kentucky,W,75,73,John Higgins,Keith Kimble,Mike Reed,18,19,37
2016-17,Butler,W,92,80,Doug Shows,Lamar Simpson,Joe Lindsay,21,23,44
2016-17,Arkansas,W,72,65,Bo Boroski,Lamont Simpson,Darron George,10,20,30
2016-17,Texas Southern,W,103,64,Mike Reed,Paul Faia,Les Jones,13,17,30
2016-17,Duke,L,83,93,Brian Dorsey,Bill Covington Jr.,Ron Groover,28,20,48
2016-17,Miami,W,78,53,Roger Ayers,Tim Nestor,Jerry Heater,12,17,29
2016-17,Duke,W,90,83,Ron Groover,Tim Nestor,Les Jones,22,17,39
2016-17,UVA,L,43,53,Mike Roberts,Doug Shows,Tony Chiazza,12,12,24
2016-17,Pittsburgh,W,85,67,Mike Eades,James Breeding,Jeff Clark,22,17,39
2016-17,Louisville,W,74,63,Ron Groover,Pat Driscoll,John Gaffney,16,21,37
2016-17,UVA,W,65,41,Brian O'Connell,Tim Clougherty,Doug Sirmons,13,14,27
2016-17,NC State,W,97,73,Les Jones,James Breeding,Bert Smith,18,13,31
2016-17,Duke,L,78,86,Roger Ayers,Mike Eades,Mike Roberts,15,19,34
2016-17,Notre Dame,W,83,76,Jamie Luckie,Bill Covington Jr.,Clarence Armstrong,22,21,43
2016-17,Pittsburgh,W,80,78,Ted Valentine,Lee Cassell,Lamar Simpson,13,16,29
2016-17,Miami,L,62,77,Ron Groover,Sean Hull,John Gaffney,25,20,45
2016-17,Virginia Tech,W,91,72,Mike Eades,Roger Ayers,Mike Roberts,16,13,29
2016-17,Boston College,W,90,82,Ed Corbett,Tony Greene,Brian O'Connell,11,19,30
2016-17,Syracuse,W,85,68,Ron Groover,John Gaffney,Doug Shows,13,13,26
2016-17,Florida State,W,96,83,Roger Ayers,Lee Cassell,Tony Chiazza,22,27,49
2016-17,Wake Forest,W,93,87,Mike Eades,Tim Comer,Brian O'Connell,23,20,43
2016-17,NC State,W,107,56,Ron Groover,Keith Kimble,Matt Potter,13,18,31
2016-17,Clemson,W,89,86,Tim Nestor,Lee Cassell,Jeff Clark,19,16,35
