season,opponent,result,oefg,opm,opa,opmp,otpm,otpa,otmp,otmpa,ofpa,ofpt,otft
2005-06,Illinois,L,53.7,17,33,51.5,8,21,38.1,38.9,10,17,58.8
2005-06,UC Santa Barbara,W,50,14,34,41.2,10,24,41.7,41.4,8,14,57.1
2005-06,Cleveland State,W,35.2,19,58,32.8,4,13,30.8,18.3,5,9,55.6
2005-06,Gardner Webb,W,58.6,19,31,61.3,10,27,37,46.6,12,15,80
2004-05,Illinois,W,47.1,15,30,50,12,40,30,57.1,4,6,66.7
2004-05,Michigan State,W,38.5,18,51,35.3,7,23,30.4,31.1,14,18,77.8
2004-05,Wisconsin,W,58.2,19,37,51.4,11,24,45.8,39.3,11,13,84.6
2004-05,Villanova,W,44.3,15,33,45.5,8,28,28.6,45.9,12,19,63.2
2004-05,Iowa State,W,38.2,23,63,36.5,4,13,30.8,17.1,7,17,41.2
2004-05,Oakland,W,48.3,19,43,44.2,6,15,40,25.9,12,18,66.7
2004-05,Georgia Tech,L,42.3,17,46,37,7,19,36.8,29.2,23,29,79.3
2004-05,Clemson,W,51.7,23,42,54.8,5,17,29.4,28.8,20,29,69
2004-05,Duke,W,56.2,15,27,55.6,11,29,37.9,51.8,10,19,52.6
2004-05,Florida State,W,56.7,19,38,50,10,22,45.5,36.7,8,10,80
2004-05,Maryland,W,50,19,54,35.2,11,17,64.7,23.9,12,13,92.3
2004-05,NC State,W,56.6,12,26,46.2,12,27,44.4,50.9,11,12,91.7
2004-05,Clemson,W,35.7,18,48,37.5,3,15,20,23.8,11,20,55
2004-05,UVA,W,43.3,15,31,48.4,5,21,23.8,40.4,16,21,76.2
2004-05,Connecticut,W,47.6,22,48,45.8,5,14,35.7,22.6,11,19,57.9
2004-05,Duke,L,44.6,10,31,32.3,10,25,40,44.6,21,22,95.5
2004-05,Florida State,W,51,11,27,40.7,9,21,42.9,43.8,11,15,73.3
2004-05,NC State,W,43,20,42,47.6,5,22,22.7,34.4,16,24,66.7
2004-05,UVA,W,46.9,15,35,42.9,10,29,34.5,45.3,16,21,76.2
2004-05,Miami,W,40.3,18,45,40,6,22,27.3,32.8,13,17,76.5
2004-05,Clemson,W,37.5,15,41,36.6,5,19,26.3,31.7,13,21,61.9
2004-05,Wake Forest,L,50.8,18,41,43.9,9,21,42.9,33.9,32,32,100
2004-05,Georgia Tech,W,39.5,18,40,45,3,17,17.6,29.8,24,34,70.6
2004-05,Maryland,W,39.4,25,49,51,2,22,9.1,31,19,26,73.1
2004-05,William & Mary,W,46.6,20,37,54.1,5,22,22.7,37.3,11,12,91.7
2004-05,Cleveland State,W,46.5,18,35,51.4,6,23,26.1,39.7,10,15,66.7
2004-05,UNC-Wilmington,W,48.5,18,42,42.9,9,23,39.1,35.4,12,17,70.6
2004-05,Vermont,W,50,11,25,44,12,33,36.4,56.9,7,14,50
2004-05,Virginia Tech,W,41.4,15,40,37.5,6,18,33.3,31,3,11,27.3
2004-05,Loyola Chicago,W,43.4,16,37,43.2,7,24,29.2,39.3,7,9,77.8
2004-05,Kentucky,W,50,20,45,44.4,10,25,40,35.7,8,16,50
2004-05,Indiana,W,42.3,11,33,33.3,11,32,34.4,49.2,8,15,53.3
2004-05,USC,W,39,19,47,40.4,5,21,23.8,30.9,12,16,75
2004-05,Iowa,W,67.9,15,29,51.7,14,24,58.3,45.3,20,28,71.4
2004-05,Tennessee,W,52.4,16,35,45.7,11,27,40.7,43.5,16,18,88.9
2004-05,BYU,W,36.8,12,34,35.3,6,23,26.1,40.4,8,14,57.1
2004-05,Santa Clara,L,56,19,33,57.6,6,17,35.3,34,21,29,72.4
2003-04,Texas,L,53.6,22,42,52.4,5,13,38.5,23.6,19,23,82.6
2003-04,Air Force,W,53.9,9,14,64.3,8,25,32,64.1,10,13,76.9
2003-04,Georgia Tech,L,53.5,23,39,59,5,18,27.8,31.6,22,26,84.6
2003-04,Duke,L,50.9,25,47,53.2,3,11,27.3,19,11,18,61.1
2003-04,Clemson,W,50,14,32,43.8,7,17,41.2,34.7,4,8,50
2003-04,NC State,W,42.2,15,30,50,8,34,23.5,53.1,10,13,76.9
2003-04,UVA,L,46.1,16,40,40,9,24,37.5,37.5,15,21,71.4
2003-04,Florida State,W,54.5,8,19,42.1,15,37,40.5,66.1,10,19,52.6
2003-04,Maryland,W,42.3,24,57,42.1,6,21,28.6,26.9,20,30,66.7
2003-04,Georgia Tech,L,60.2,13,29,44.8,13,25,52,46.3,23,28,82.1
2003-04,Wake Forest,W,50.9,18,33,54.5,7,23,30.4,41.1,16,21,76.2
2003-04,Duke,L,47.7,20,43,46.5,7,21,33.3,32.8,22,26,84.6
2003-04,Clemson,L,67.8,14,32,43.8,11,13,84.6,28.9,20,33,60.6
2003-04,NC State,W,60.4,17,27,63,8,21,38.1,43.8,8,11,72.7
2003-04,UVA,W,53.8,18,33,54.5,7,20,35,37.7,20,23,87
2003-04,Florida State,L,62.7,25,40,62.5,8,19,42.1,32.2,16,22,72.7
2003-04,Connecticut,W,53.6,27,50,54,7,20,35,28.6,8,15,53.3
2003-04,Maryland,L,57,28,48,58.3,3,9,33.3,15.8,25,35,71.4
2003-04,Georgia Tech,W,46.9,20,43,46.5,7,22,31.8,33.8,27,34,79.4
2003-04,Miami,W,42.2,18,44,40.9,6,20,30,31.2,10,17,58.8
2003-04,Kentucky,L,44.4,20,44,45.5,5,18,27.8,29,6,13,46.2
2003-04,Coastal Carolina,W,51.6,18,38,47.4,9,23,39.1,37.7,9,13,69.2
2003-04,UNC-Wilmington,W,42,12,31,38.7,6,19,31.6,38,12,18,66.7
2003-04,Wake Forest,L,57.2,35,60,58.3,11,30,36.7,33.3,16,31,51.6
2003-04,Akron,W,39.1,22,49,44.9,2,15,13.3,23.4,3,5,60
2003-04,George Mason,W,53.3,17,37,45.9,10,23,43.5,38.3,17,20,85
2003-04,Illinois,W,49.3,28,51,54.9,6,24,25,32,7,18,38.9
2003-04,Cleveland State,W,50.8,17,33,51.5,9,27,33.3,45,15,22,68.2
2003-04,Davidson,W,52.9,11,23,47.8,11,29,37.9,55.8,13,18,72.2
2003-04,Old Dominion,W,44.9,16,39,41,10,30,33.3,43.5,2,3,66.7
