season,opponent,result,pace,ppp,oppp,efg,oefg,to,oto,or,oor,ft,oft
2013-14,UAB,L,66,0.89,0.95,43.6,33.1,13.6,18.1,26.2,44.7,17.5,45.2
2013-14,Louisville,W,78,1.19,1.08,56.8,47,18,18,38.7,36.4,64.4,37.3
2013-14,Richmond,W,72,1.14,1,51.9,52,19.4,23.6,36.1,25.8,68.5,59.2
2013-14,Belmont,L,73,1.1,1.14,50,59.4,17.9,22,48.8,23.3,82.8,41.5
2013-14,Holy Cross,W,70,0.88,0.77,40.8,34.3,12.8,22.7,21.1,20.5,30,51
2013-14,Oakland,W,72,1.17,0.85,64.5,43.6,25,19.4,38.5,16.2,36.4,32.7
2012-13,Kansas,L,72,0.8,0.97,34.2,48.2,15.2,30.4,31.4,42.9,13.7,38.2
2012-13,Villanova,W,72,1.09,0.99,60.2,47.5,23.6,22.2,21.4,40.5,55.1,31.1
2012-13,Miami,L,64,1.2,1.35,55.8,61,14,12.4,29.4,40,18.3,33.9
2012-13,Maryland,W,71,1.12,1.07,50,47.5,9.9,14.1,25,32.5,42.6,42.6
2012-13,Florida State,W,66,1.26,0.94,57.1,48,10.6,27.2,36.4,30,19.1,35.3
2012-13,Duke,L,61,0.87,1.13,34.7,60.2,18.1,24.6,43.9,40.9,21,24.5
2012-13,Maryland,W,70,1.13,0.98,54.5,45.2,17.2,20.1,32.3,36.1,43.6,23.8
2012-13,Florida State,W,67,1.18,0.87,63.4,40.3,16.5,22.5,26.9,33.3,17.9,12.9
2012-13,Clemson,W,64,1.07,0.93,54.5,43.1,14.1,23.6,24.2,38.9,27.3,19
2012-13,NC State,W,71,1.07,0.92,50.8,48.4,14.1,24,25.6,36.8,25,21.3
2012-13,Georgia Tech,W,71,0.98,0.82,42.4,46.5,12.7,26.7,26.2,30.8,25.8,19
2012-13,UVA,W,69,1.34,1.17,60.2,69.8,10.1,20.2,34.4,12,50.9,20.8
2012-13,Duke,L,70,0.97,1.04,41.7,50,18.5,24.2,42.5,40,34.9,35.7
2012-13,Miami,L,67,0.91,1.29,43.1,67.5,16.4,19.3,27.5,33.3,9.2,21.1
2012-13,Wake Forest,W,78,1.11,0.79,58.9,45.5,17.8,26.8,25,17.1,40.3,30.9
2012-13,Virginia Tech,W,62,1.02,0.85,41.4,41.9,17.1,19.9,44.2,26.3,42.2,16.1
2012-13,Boston College,W,67,1.22,1.04,54,50.9,13.4,14.9,40.6,22.6,32.3,30.4
2012-13,NC State,L,80,1.03,1.13,52.1,54.6,17.4,19.9,23.1,34.3,14.1,35.4
2012-13,Georgia Tech,W,81,0.98,0.78,47.1,38.7,17.4,23.6,28.3,34.7,31.4,8
2012-13,Maryland,W,71,0.88,0.74,39.2,40.6,17,29.8,32.6,29.4,27.7,26.4
2012-13,Florida State,W,62,1.24,1.16,55,59,22.5,16,59.4,21.4,26.7,34
2012-13,Miami,L,63,0.94,1.08,45,55.7,17.5,19.1,31.6,27.6,13.3,24.5
2012-13,UVA,L,63,0.82,0.96,42.2,53.1,18.9,17.4,22.9,15.6,33.3,36.7
2012-13,UNLV,W,72,1.1,1.02,53.6,52.5,16.7,23.7,31.4,38.9,60,35.6
2012-13,McNeese State,W,76,1.27,0.83,56.1,37.7,18.4,13.1,51.2,31.4,29.7,26
2012-13,Texas,L,81,0.83,1.05,33.6,44.6,22.3,16.1,41.7,40,47.8,35.1
2012-13,East Carolina,W,80,1.16,1.09,55.2,49.2,15,12.5,27.8,25,35.8,40.3
2012-13,East Tenn. St.,W,78,1,0.71,50,39.5,17.9,28.2,30.2,25.6,9.6,19.4
2012-13,UAB,W,88,1.16,0.96,60,50,22.8,20.6,36.4,28.6,30,14.5
2012-13,Indiana,L,74,0.8,1.12,38.4,50,16.2,13.5,29.2,34.9,20.3,16.2
2012-13,Chaminade,W,74,1.52,0.95,71.7,48.5,12.2,25.7,45.2,35.7,30.4,15.4
2012-13,Butler,L,72,0.98,1.13,48.4,58.5,20.8,24.9,27,38.7,19.1,47.2
2012-13,Mississippi State,W,75,1.26,0.65,57,30,16,27.9,39.5,36.2,11.5,31.7
2012-13,Long Beach State,W,73,1.06,0.86,46.7,39.9,17.7,19.1,46,27.3,14.7,17.4
2012-13,Florida Atlantic,W,76,1.05,0.74,47.9,35.2,22.4,22.4,51.1,28.9,38,34.4
2012-13,Gardner Webb,W,75,1.01,0.78,47.2,45.5,23.9,29.2,48.9,25.7,26.8,25.4
2011-12,Kansas,L,72,0.93,1.12,45.3,49.2,14,11.2,21.1,28.9,18.8,38.1
2011-12,Ohio,W,71,0.91,0.82,45.4,40.9,30.1,16.3,48.9,14.6,36.9,11.3
2011-12,Creighton,W,73,1.19,1,56.9,47.1,12.3,12.3,29.7,21.4,29.2,17.6
2011-12,Vermont,W,72,1.07,0.81,45.4,42.1,15.4,27.9,36.6,42.1,36.9,12.7
2011-12,Florida State,L,70,1.16,1.21,43,68.8,10,21.3,44.2,23.1,33.8,19.6
2011-12,NC State,W,74,0.93,0.91,49.1,47.4,20.3,21.6,19.4,22.2,40.7,31
2011-12,Maryland,W,73,1.16,0.94,56.6,45.2,13.7,17.8,32.4,26.8,42.6,33.9
2011-12,Duke,W,70,1.26,0.99,57.6,46,17.1,8.6,43.8,24.4,22.7,33.3
2011-12,Maryland,W,76,1.15,0.84,43,40.5,9.2,22.3,38.6,35.9,46.5,33.3
2011-12,UVA,W,61,0.88,0.83,35.3,40,17.9,6.5,33.3,12.2,45.1,10
2011-12,NC State,W,67,1.29,1.11,59.6,43.6,13.5,6,33.3,38.3,42.1,32.9
2011-12,Clemson,W,67,1.1,0.78,54,43.8,18,22.5,34.4,15.2,12.7,33.3
2011-12,Miami,W,63,1.15,1.01,41.9,45.3,12.6,22.1,52.2,45,33.8,12.5
2011-12,UVA,W,66,1.06,0.79,36,39.1,12.2,18.3,48.9,21.6,39.7,23.6
2011-12,Duke,L,72,1.16,1.18,50,54.8,12.5,13.9,39.5,30.8,47.6,41.9
2011-12,Maryland,W,76,1.1,0.97,47.1,44.3,18.5,17.2,42.2,32.5,37.1,44.3
2011-12,Wake Forest,W,67,1.01,0.78,33.8,31.5,8.9,16.3,42.3,23.3,36.6,48.1
2011-12,Georgia Tech,W,75,1.24,1.09,62.3,52.2,13.4,20.1,34.5,32.4,41,16.2
2011-12,NC State,W,71,1.03,0.77,52.3,44.7,21.1,23.9,42.9,15.4,20.3,15.8
2011-12,Virginia Tech,W,69,1.18,0.97,48.5,46.3,20.2,11.5,52.8,25.6,31.8,8.8
2011-12,Florida State,L,76,0.75,1.18,40.7,58.1,29,22.4,33.3,41.7,33.9,38.7
2011-12,Miami,W,72,1.01,0.78,46.4,44.5,16.7,23.7,40,14.7,20.3,18.2
2011-12,Boston College,W,75,1.11,0.8,50.8,50,14.7,26.8,33.3,18.9,31.8,15.8
2011-12,Monmouth,W,80,1.27,0.81,60.3,45.5,16.2,15,40.5,9.1,48.5,11.9
2011-12,Elon,W,84,1.19,0.74,50,37.8,14.3,16.7,48.5,19.8,30.1,6.4
2011-12,Texas,W,69,1.18,0.91,46.8,41.3,18.8,18.8,56.4,38.6,49.2,13
2011-12,Nicholls State,W,86,1.15,0.57,45.9,32.9,15.1,26.8,55.8,19.8,48.2,8.6
2011-12,Appalachian State,W,74,1.3,1.11,56.1,49.3,9.4,13.5,41.5,33.8,50,25
2011-12,Long Beach State,W,78,1.08,1,55.9,52.1,18,19.3,24.2,32,14.7,11.4
2011-12,Evansville,W,79,1.22,0.61,53.8,30.3,16.4,22.8,50.6,18.2,65.2,16.7
2011-12,Kentucky,L,65,1.1,1.11,50.8,47.6,19.9,13.8,38.7,41.1,23.3,28.6
2011-12,Wisconsin,W,61,0.98,0.94,45.6,42.2,23.1,6.6,33.9,24.4,53.3,9.4
2011-12,UNLV,L,80,1,1.12,45.5,52.8,12.5,16.2,22.7,32.6,50,25.4
2011-12,South Carolina,W,75,1.16,0.83,52.2,50,13.4,33.5,32.2,39.1,44.8,21.8
2011-12,Tennessee State,W,74,1.36,0.93,70.5,47.2,14.8,16.1,36.7,23.8,24.2,7
2011-12,Mississippi Valley St.,W,88,1.15,0.86,48.9,43.4,17.1,23.9,54.1,30.1,35.6,14.5
2011-12,Asheville,W,77,1.18,0.97,61.1,46,22,12.9,32.7,21,64.8,38.1
2011-12,Michigan State,W,70,0.96,0.79,51,31.9,20.1,21.6,22.1,45.9,45.1,18.1
2010-11,Kentucky,L,70,0.99,1.09,46,58.9,18.7,20.1,31.5,26.9,24.2,28.6
2010-11,Marquette,W,71,1.14,0.88,45.3,38.1,9.8,25.3,46.7,40,28.4,31.8
2010-11,Washington,W,73,1.18,1.14,51.5,52.8,12.3,17.8,35,37.8,34.9,9.7
2010-11,LIU,W,94,1.08,0.92,53,41.2,19.1,14.9,34.7,26.1,62.7,29.4
2010-11,Duke,L,69,0.84,1.08,35.5,57.8,23.1,17.3,39.3,25.4,33.9,25.9
2010-11,Clemson,W,68,1.2,1.14,54.8,59.1,19.6,22.2,43.7,39,54.8,24.2
2010-11,Miami,W,64,0.95,0.92,54,44.2,31.1,21.8,39,32.1,20,15
2010-11,Duke,W,71,1.14,0.94,55.6,40.3,14.1,12.7,31.9,27.1,33.3,35.5
2010-11,Florida State,W,67,1.07,1.04,52.7,52.5,22.3,14.8,36.7,24.3,32.7,21.7
2010-11,Maryland,W,80,1.08,0.94,43.8,42.5,13.7,16.1,41.8,33.7,27.5,24.7
2010-11,NC State,W,68,1.11,0.93,46.2,45.4,16.2,14.7,45.5,28.9,27.3,15.4
2010-11,Boston College,W,58,0.83,0.8,38.6,33.6,22.5,17.3,45.8,27.6,14,26.9
2010-11,Wake Forest,W,70,1.12,0.92,40.1,44.3,11.5,18.6,46.1,26.6,39.4,16.4
2010-11,Clemson,W,70,0.92,0.89,39.6,41.8,12.9,22.9,19.8,34.1,60.4,27.9
2010-11,Duke,L,76,0.96,1.04,44.1,47.1,17.1,15.8,37,32.6,32.4,33.8
2010-11,Florida State,W,73,1.23,0.95,62.3,50,16.6,19.3,33.3,27.4,34.4,30
2010-11,Boston College,W,76,1.4,0.97,65.4,44.9,11.8,21.1,32.3,37.9,29.4,30.9
2010-11,NC State,W,77,1.08,0.83,50,38.6,19.4,19.4,41.9,26.4,34.3,28.8
2010-11,Miami,W,62,1.2,1.15,53.5,57,17.8,21,44.4,38.5,24.1,17.5
2010-11,Clemson,W,74,1.01,0.88,50,42.2,18.8,21.5,30.6,33.3,43.1,14.1
2010-11,Georgia Tech,L,75,0.77,1.04,29.3,54.6,24,17.3,32.1,30.3,55.2,18.5
2010-11,Virginia Tech,W,71,0.91,0.86,45.2,50,24.1,25.5,41.1,19.1,27,28.3
2010-11,UVA,W,63,0.98,0.89,39.8,47.1,12.7,17.4,28.9,15.2,50,23.5
2010-11,St. Francis PA,W,76,1.36,0.71,65.2,33.6,13.2,22.4,41.5,29.9,40.9,16.4
2010-11,Rutgers,W,76,1.03,0.73,55.6,38.1,21.2,21.2,31.9,15.8,29,27.1
2010-11,William & Mary,W,76,1.12,0.79,48.6,41.9,15.8,27.7,41.9,32.6,28.8,19.4
2010-11,Texas,L,75,1.02,1.05,46.2,47.8,16.1,16.1,32.9,38.3,30.3,27.9
2010-11,Long Beach State,W,79,1.21,1.15,64.8,57.5,13.9,15.2,22.4,28.6,34.4,17.8
2010-11,Evansville,W,73,1.04,0.67,46.3,34.2,16.3,30,31.9,27.1,66.7,15
2010-11,Kentucky,W,76,0.98,0.96,42.2,46,15.7,14.4,25,20.2,63.8,33.9
2010-11,Illinois,L,73,0.91,1.08,50.9,57.1,24.5,19.1,26.8,26.9,29.3,14.3
2010-11,College of Charleston,W,71,1.05,0.98,48.3,44.4,19.9,19.9,42.5,43.3,45,16.9
2010-11,Asheville,W,77,1.04,0.9,49.1,41.1,26.1,13,45.6,23.6,53.5,17.8
2010-11,Vanderbilt,L,73,0.9,0.99,43.5,54.3,30.3,28.9,37.3,33.3,50,57.5
2010-11,Minnesota,L,76,0.88,0.94,40,48.2,21,23.6,31.2,35.1,38.5,56.4
2010-11,Hofstra,W,75,1.43,0.84,64.8,45.2,16.1,21.4,53.2,27.2,36.6,22.2
2010-11,Lipscomb,W,77,1.04,0.86,50.8,42.1,18.1,22,34.2,27.4,46,33.3
2009-10,Dayton,L,69,0.98,1.14,50.9,56.6,21.7,15.9,27.2,34.3,25.4,26.2
2009-10,Rhode Island ,W,71,0.86,0.84,36.1,40.4,21.4,21.4,47.3,32,19.3,26.5
2009-10,UAB,W,63,0.96,0.88,44.3,34.6,23.9,19.1,37.7,35.4,37.7,50
2009-10,Mississippi State,W,68,1.12,1.1,52.3,50.9,16.3,11.8,37.3,23.9,15.2,36.2
2009-10,William & Mary,W,72,1.12,1.01,54.4,54.8,15.4,23.7,28.6,24.2,45.6,6.5
2009-10,Georgia Tech,L,65,0.89,0.96,34.8,47.3,15.4,21.6,46.1,33.3,20.3,28.6
2009-10,Duke,L,64,0.78,1.28,34.4,52.6,25,14.1,32.8,46,54.2,40.4
2009-10,Miami,W,71,0.97,0.87,45.6,40.9,23.8,11.2,42.4,17.8,40.4,18.2
2009-10,Wake Forest,W,76,1.02,0.9,44.6,35.8,18.5,14.6,40,38.5,50.8,32.4
2009-10,Florida State,L,69,0.98,1.12,48,57,20.4,21.8,27.5,33.9,56,31.6
2009-10,Boston College,L,67,1,1.06,39.8,44.8,16.4,11.9,50,40,37.5,19.4
2009-10,Georgia Tech,L,76,0.67,0.89,34.8,50,24.9,26.2,27.3,30.8,40.7,42.9
2009-10,NC State,W,66,1.11,0.92,45.8,45.5,15.1,18.1,43.8,26.4,48.3,30.4
2009-10,Duke,L,64,0.85,1,38.8,38.4,18.8,12.5,31.3,43.7,27.6,26.1
2009-10,Maryland,L,77,0.92,1.2,41.3,60.3,18.2,16.9,34.9,30.6,30.4,17.6
2009-10,Virginia Tech,L,73,0.96,1.01,47.2,41.8,26,13.7,37.7,34.9,56.6,32.8
2009-10,UVA,L,68,0.88,1.1,43.8,58.6,24.8,24.8,42.3,28.9,39.3,34.6
2009-10,NC State,W,67,1.14,0.94,56.1,44.9,14.8,14.8,29,21.1,38.6,18.6
2009-10,Wake Forest,L,69,1,1.19,40.9,57.5,13.1,17.4,37,38.2,21.1,30
2009-10,Georgia Tech,L,70,1.01,1.04,44,47.7,24.3,18.6,43.8,38.3,41.4,23.1
2009-10,Clemson,L,78,0.82,1.06,46.7,53.3,34.6,17.9,37.8,22.6,16.4,32.8
2009-10,Virginia Tech,W,70,1.11,0.91,58.6,38.8,25.6,17.1,36.8,38.2,42.3,26.9
2009-10,College of Charleston ,L,71,0.99,1.03,38.7,52,16.4,12.6,43.5,21.7,47.9,7.9
2009-10,Albany,W,84,1.04,0.84,53,47.7,21.5,31,34.2,30.4,40.9,20.3
2009-10,Rutgers,W,74,1.09,0.9,48.3,45,21.5,17.5,44.7,31.7,59.3,12.9
2009-10,Marshall,W,83,1.18,0.73,52.8,38.5,20.5,21.7,49.4,29.5,40.9,5.1
2009-10,Texas,L,88,1.02,1.17,52.7,45.4,18.1,14.7,26.4,48.7,25.3,39.1
2009-10,Presbyterian,W,76,1.35,0.84,58.8,48.4,11.8,22.2,44.4,15.8,29.7,11.5
2009-10,Kentucky,L,74,0.89,0.92,44,50,21.7,27.1,34.9,33.3,19.4,40.7
2009-10,Michigan State,W,78,1.14,1.05,62.3,44.3,21.7,14,34.9,38.9,52.6,20.2
2009-10,Nevada,W,69,1.16,1.06,50,44.7,11.6,8.7,40.7,36.1,35.3,8
2009-10,Gardner Webb,W,82,1.14,0.88,56.8,48.5,19.6,27,46,26.7,50,10.1
2009-10,Syracuse,L,75,0.95,1.16,41.3,61,24.1,20.1,43.5,35.6,41.3,14.7
2009-10,Ohio State,W,73,1.05,1,55.7,47.5,26,21.9,30.6,39.7,47.2,36.1
2009-10,Valparaiso,W,72,1.23,1.07,61.4,52.2,19.5,12.5,48.2,23,50.9,14.9
2009-10,NC Central,W,72,1.23,0.58,63.6,29.1,26.3,27.7,53.6,26.2,32.2,32.7
2009-10,FIU,W,84,1.05,0.86,59,42.6,31.1,23.9,42.9,28.9,31.1,25
2008-09,Michigan State,W,76,1.17,0.94,50,46.4,9.2,27.5,26.3,35.9,65.6,52.7
2008-09,Villanova,W,77,1.07,0.89,49.2,36.1,15.5,15.5,31.6,38.3,59.7,20.2
2008-09,Oklahoma,W,65,1.12,0.93,55.9,46.3,18.6,23.2,24,36.4,31.4,29.6
2008-09,Gonzaga,W,78,1.25,0.99,61,52.6,11.5,15.4,27.4,12.3,39.7,39.7
2008-09,LSU,W,68,1.24,1.03,59.3,52.3,13.3,22.2,34.6,38.9,30.5,9.4
2008-09,Radford,W,87,1.17,0.67,48.2,30.6,13.9,20.8,40.8,32.8,28.6,17.5
2008-09,Florida State,L,64,1.1,1.14,40.7,56.1,10.9,21.9,40.2,42.2,49.1,26.3
2008-09,Virginia Tech,W,67,1.19,1.14,49.2,50.8,13.5,10.5,46.2,31.1,32.3,16.4
2008-09,Duke,W,66,1.19,1.07,58.5,52,16.6,16.6,40.7,18.8,47.2,54
2008-09,Virginia Tech,W,75,1.14,1.04,45.5,44.2,10.6,14.6,33.3,32.9,51.5,24.6
2008-09,Georgia Tech,W,83,1.26,0.89,56.5,51.5,18.1,21.8,39.7,25,42,14.5
2008-09,Maryland,L,71,1.07,1.1,40.9,55.1,18.8,20.1,47.1,33.8,36.4,25
2008-09,NC State,W,70,1.28,1.15,58.5,63.1,12.9,21.5,37.9,30.3,23.1,11.5
2008-09,Miami,W,67,1.04,0.98,46.3,46.3,18,18,39,34.8,11.9,2.9
2008-09,Duke,W,79,1.28,1.1,59.7,54.3,18.9,17.7,41.1,37.2,50,25.7
2008-09,UVA,W,71,1.06,0.85,48.5,44.4,16.8,16.8,35.4,21,25.4,11.1
2008-09,Maryland,W,82,1.31,1.1,62.9,50,19.4,19.4,44.7,45,38.6,28
2008-09,NC State,W,70,1.34,1.09,60.5,50,15.8,12.9,41.5,34.1,32.3,19.4
2008-09,Florida State,W,77,1.04,1,43.6,51.7,27.2,24.6,50,38.6,50.8,35
2008-09,Clemson,W,77,1.21,0.9,56.8,41.9,16.8,20.7,37.8,37.2,40.9,27.9
2008-09,Miami,W,73,1.12,0.89,53.2,44.1,19.1,17.8,29.3,33.3,28.6,16.2
2008-09,UVA,W,74,1.12,0.82,46.1,32.9,12.1,13.5,41.7,37.2,43.8,11
2008-09,Wake Forest,L,89,1.01,1.04,39.2,52.5,20.3,18.1,41,22.2,51.4,63.9
2008-09,College of Charleston,W,84,1.29,0.84,63.6,40.6,16.8,14.4,32.8,14.8,31.4,23.2
2008-09,Boston College,L,75,1.04,1.13,43.1,52.1,19.9,13.3,50,40,37,22.9
2008-09,Nevada,W,71,1.19,0.86,55.1,35.7,18.4,21.2,40.9,44.3,45.8,38.1
2008-09,Rutgers,W,75,1.3,1,54.4,53.4,16.1,24.1,51.6,30.9,41.2,22
2008-09,Valparaiso,W,72,1.18,0.88,53.6,50,23.6,34.7,50.8,39.3,55.4,58.7
2008-09,Evansville,W,82,1.11,0.89,54.5,47.8,19.5,17,32.9,19.2,39.4,21.7
2008-09,Oral Roberts,W,88,1.13,0.95,56.5,51.4,18.1,28.3,29.9,39.5,43.5,17.6
2008-09,Michigan State,W,83,1.18,0.76,52.1,37.9,10.8,25.3,30.4,26.9,40.9,31.8
2008-09,Asheville,W,83,1.39,0.58,66.2,28.7,13.2,30,41.1,32.1,27.3,25
2008-09,Notre Dame,W,73,1.41,1.2,59.3,50.6,11,11,46.9,39.6,30,14.1
2008-09,Oregon,W,85,1.16,0.81,58.5,36.3,21.2,16.5,40.8,19.8,50.8,28.8
2008-09,Chaminade,W,81,1.43,0.87,67.1,48.3,8.7,27.3,35.8,30.4,21.5,26.7
2008-09,UC Santa Barbara,W,74,1.14,0.91,52.5,51.8,20.3,28.4,43.2,22.6,52.5,23.6
2008-09,Kentucky,W,74,1.04,0.78,46.4,47.8,13.5,37.8,33.7,27.3,25.7,42.2
2008-09,Penn,W,75,1.15,0.95,52.5,49.2,17.3,21.3,37.3,23.3,55,28.3
2007-08,Kansas,L,79,0.83,1.06,39.5,57,22.7,23.9,28.4,33.9,22.4,21.9
2007-08,Louisville,W,68,1.22,1.07,56,58.2,20.6,27.9,50.9,41.5,36.2,29.1
2007-08,Washington State,W,66,1.03,0.71,47.4,33.3,19.7,15.1,36.1,21.4,32.8,26.3
2007-08,Arkansas,W,67,1.61,1.15,73.8,51.7,10.4,13.4,44.9,39.1,26.1,39
2007-08,Mount St. Mary's,W,75,1.5,0.98,65.5,48.5,12,18.6,58.1,23.1,35.2,21.5
2007-08,Clemson,W,81,1.06,1,52.2,48.5,24.6,19.7,51.2,33.7,34.8,37.7
2007-08,Virginia Tech,W,73,0.93,0.9,44.2,44,23.3,16.4,32,19.5,31.7,34.5
2007-08,Florida State,W,68,1.21,1.03,57.9,58.2,14.8,22.1,30.5,31.1,42.1,21.8
2007-08,Duke,W,74,1.03,0.92,44.1,39.5,16.3,17.6,45.2,36.6,15.8,11.8
2007-08,Florida State,W,71,1.28,1.09,59.6,47.6,19.8,11.3,50.9,31.6,50.9,39.7
2007-08,Boston College,W,67,1.34,1.19,56.8,58.3,13.4,16.3,38.5,31.6,44.1,42.6
2007-08,Wake Forest,W,78,1.15,0.94,63,54.2,25.8,23.2,37.5,19.1,68,28.3
2007-08,NC State,W,69,1.21,1.01,55.5,54.9,15.9,26,42.9,31.8,28.1,39.2
2007-08,Virginia Tech,W,79,1.16,0.67,54.7,29.6,24,26.6,54.4,19.3,45.3,51.9
2007-08,UVA,W,70,1.06,1.05,57.6,43.9,24.1,9.9,35.9,33,20.3,14.9
2007-08,Clemson,W,76,1.08,0.98,49.3,51.7,21,21,35.2,33.7,49.3,7.9
2007-08,Duke,L,83,0.95,1.08,42.8,55.3,24.2,18.2,43.6,28.8,43.5,40.9
2007-08,Florida State ,W,70,1.06,0.92,46.7,44.3,26.5,12.6,50.7,17.6,54.1,21.4
2007-08,Boston College,W,80,1.14,0.86,54.4,48.3,16.2,21.2,35.2,13.7,36.8,32.2
2007-08,Miami,W,73,1.35,1.13,50.7,56.6,9.7,23.4,52,40.3,32,24.6
2007-08,Maryland,L,75,1.07,1.1,42.4,51.6,13.4,13.4,42,26.5,19,31.2
2007-08,Georgia Tech,W,74,1.13,1.12,49.2,50.7,19,16.3,41.9,40.2,41.3,13.7
2007-08,NC State,W,75,1.24,0.83,52.7,40,14.7,20,46.1,28.9,24.3,24.6
2007-08,Asheville,W,78,1.19,1.03,47.4,58.9,11.5,21.7,42.7,24.6,33.8,24.2
2007-08,Clemson,W,79,1.02,0.99,45.8,46.8,21.5,14.7,36,33.6,41.7,34.2
2007-08,Kent State,W,73,1.23,0.83,56.1,41.9,21.8,25.9,55,41.2,30.8,7.3
2007-08,Valparaiso,W,74,1.21,0.78,57.7,42.3,14.8,18.9,41.9,17.8,30.8,15.4
2007-08,Nevada,W,84,1.26,0.83,59.9,43.6,19,23.7,39.1,27.6,35.2,15.7
2007-08,UC Santa Barbara,W,84,1.25,0.83,59.1,42.3,19.1,20.3,54.3,24.7,31.2,5.1
2007-08,Nicholls State,W,72,1.22,1.08,50.9,60,16.6,20.8,37.8,23.3,67.2,25.4
2007-08,Rutgers,W,80,1.16,0.89,46.2,41.5,15,24.9,49,35.2,26.2,40
2007-08,Penn,W,84,1.26,0.84,58.7,50,22.6,23.7,55.4,20.8,34.7,23.8
2007-08,Kentucky,W,76,1.13,1.01,48.4,50.9,17,24.9,41.9,26.4,55.7,37.9
2007-08,Ohio State,W,71,0.93,0.78,41.5,34.3,15.5,14.1,37.8,25.4,19.7,12.9
2007-08,BYU,W,74,0.99,0.86,42.4,46,13.6,28.6,26.5,30.9,50.9,14.5
2007-08,Old Dominion,W,67,1.48,1.23,77.3,64.3,13.5,26.9,33.3,46.7,40,26.8
2007-08,South Carolina State,W,85,1.29,0.75,60.5,46.5,21.1,36.4,50.8,36.7,58.2,38.6
2007-08,Iona,W,86,1.25,0.84,58.7,54.6,24.5,26.9,48.6,10.6,73,37
2007-08,Davidson,W,77,0.94,0.88,50,41.8,24.7,15.6,23.8,21.7,53.9,22.4
2006-07,Georgetown ,L,66,1.13,1.29,38.7,63.6,12.1,13.4,43.3,32.3,47.9,27.3
2006-07,USC,W,73,1.02,0.88,40.3,46.7,11,24.7,41,29.3,22.1,14.8
2006-07,Michigan State,W,64,1.27,1.05,53.9,44.8,15.7,15.7,46,32,65.4,29.3
2006-07,EKU,W,72,1.19,0.9,70.2,52.5,30.4,22.1,53.5,18.5,19.3,10.2
2006-07,NC State,W,68,1.31,1.18,63.5,60.4,14.7,22.1,26.8,32.7,46.1,35.9
2006-07,Boston College,W,59,1.2,0.95,51.6,40.9,13.5,11.8,47.7,28.2,14.5,29.1
2006-07,Florida State,W,72,1.02,0.81,58.8,37.3,26.5,23.7,31,28.2,49,36.4
2006-07,Duke,W,74,1.16,0.97,51.6,47.7,14.8,20.2,33.3,32.5,43.5,25
2006-07,Georgia Tech,L,72,1.06,1.16,52,59.7,20.7,22.1,30.8,39.7,77.5,24.2
2006-07,Maryland,L,79,1.1,1.12,52.7,52.3,12.6,21.5,31.4,45.8,22.7,39.4
2006-07,NC State,W,70,1.19,0.92,54,50,18.6,24.4,47.1,16.7,35.5,34
2006-07,Boston College,W,66,1.17,1.1,56.5,56.5,22.8,19.8,48.1,35.9,37,38.9
2006-07,Virginia Tech,L,70,1.02,1.03,42.3,41.5,11.4,12.7,33.3,33.7,56.9,42.2
2006-07,Wake Forest,W,81,1.29,0.83,59.4,40.8,16.1,21.1,34.9,26.7,53.1,29.2
2006-07,Duke,W,75,1.06,0.98,53.3,48.4,17.4,21.4,30,28.6,29.5,30.2
2006-07,NC State,L,73,1.09,1.14,51.6,69.8,16.5,28.9,29.2,34,32.3,74.4
2006-07,Miami,W,76,1.39,0.85,65.6,41.9,21.1,15.8,49.1,20.7,42.2,27.4
2006-07,Arizona,W,82,1.12,0.78,54.6,34.8,14.6,24.4,27.7,29.2,17.1,54.2
2006-07,Wake Forest,W,78,1.12,0.77,62.9,38.7,23,23,26.9,33.9,36.2,22.5
2006-07,Georgia Tech,W,71,1.08,0.86,52.7,45.8,26.8,26.8,41.5,41.1,49.1,16.7
2006-07,Clemson,W,79,0.97,0.7,54.2,36.8,27.8,24,35.3,31.4,28.3,27.9
2006-07,Virginia Tech,L,77,1.14,1.21,49.3,58.8,22,14.2,52.2,32.9,39.7,66.7
2006-07,UVA,W,74,1.07,0.94,40.1,51.7,13.6,23.1,44.9,26,62.1,18.6
2006-07,Florida State,W,71,1.19,0.82,50,37.5,14.2,15.6,41.8,28.2,22.9,23.4
2006-07,Penn,W,75,1.35,0.85,60.3,46.6,13.2,26.5,41,35.6,38.2,25.4
2006-07,Dayton,W,77,1.06,0.67,59.5,35.6,27.4,27.4,34.9,22.6,31,23.7
2006-07,Rutgers,W,67,1.31,0.72,61.7,37.1,16.5,27,45,34.6,30,17.2
2006-07,Saint Louis,W,63,1.09,0.76,48.3,37.5,12.7,19,33.3,17.4,30.5,21.1
2006-07,Florida Atlantic,W,77,1.36,0.68,72.3,41.1,19.5,31.2,33.3,22.8,53.6,19.6
2006-07,Asheville,W,77,1.2,0.8,52,38.4,15.5,22,43.2,22.5,29.3,46.4
2006-07,High Point,W,69,1.37,1.01,67.3,47.8,20.4,14.6,55.9,31.2,56.4,8.7
2006-07,Kentucky,W,72,1.04,0.88,44,49.1,12.5,30.6,32.2,36.2,32.8,31.5
2006-07,Ohio State,W,76,1.28,1.17,59.4,62.3,14.4,18.3,44.9,23.9,53.1,20
2006-07,Tennessee,W,84,1.2,1.03,60.3,48.6,28.4,13,54.7,29.8,52.4,43.8
