season,opponent,result,pace,ppp,oppp,efg,oefg,to,oto,or,oor,ft,oft
2018-19,Louisville,W,70,1.13,0.98,46.4,50,14.3,15.7,41.9,18.4,27.5,14.5
2018-19,Georgia Tech,W,75,1.02,0.72,58.2,36.7,19.9,21.3,20,15.8,18,21.7
2018-19,Virginia Tech,W,76,1.35,1.07,65.7,54.9,17,21,31.2,28.6,25.4,26.2
2018-19,Miami,W,69,1.24,1.11,62.5,57.3,21.9,16,43.3,19.4,23.3,32.7
2018-19,Notre Dame,W,72,1.04,0.96,46.3,49.2,15.3,15.3,35.6,18.4,29.4,22.9
2018-19,Louisville,L,71,0.88,1.18,37.1,62,19.8,19.8,30.9,37.9,46.5,48.1
2018-19,NC State,W,85,1.06,0.97,53.1,48,27.1,15.3,37.8,21.3,40.6,23.3
2018-19,Pittsburgh,W,76,1.12,0.79,50,32.3,14.4,19.7,36.2,32,23,51.6
2018-19,Harvard,W,76,1.01,0.75,46.8,46.3,14.4,28.8,21.6,14.3,35.5,24.1
2018-19,Davidson,W,77,1.07,0.78,50.9,37.3,18.2,16.9,26.5,16.7,45.8,16.4
2018-19,Kentucky,L,83,0.87,0.97,48.4,50,21.8,21.8,13.5,30,25.4,33.9
2018-19,Gonzaga,W,84,1.23,1.07,64.8,57.1,27.4,16.7,46.7,15.2,39.1,36.5
2018-19,UNC-Wilmington,W,85,1.14,0.81,53.3,41.9,17.6,29.4,42.9,27.9,37.3,33.9
2018-19,Michigan,L,70,0.96,1.21,44.7,67.6,14.4,10.1,30.9,6.2,19.7,42.6
2018-19,UCLA,W,73,1.28,1.06,57,52.5,8.2,17.7,26.5,30,43.8,44.1
2018-19,Texas,L,80,1.11,1.15,52.1,61.9,21.3,17.5,39.5,25.7,30,49.1
2018-19,St. Francis PA,W,84,1.2,0.9,60,41.8,21.4,20.2,31.4,27.1,41.5,40.3
2018-19,Tennessee Tech,W,82,1.31,0.71,58.8,39.1,15.8,26.7,54.5,20,35.1,20.3
2018-19,Stanford,W,79,1.14,0.91,53.5,45.5,15.2,19,35.1,25.6,29.6,22.4
2018-19,Elon,W,84,1.38,0.8,55.8,41.5,13.1,22.6,53.3,21.7,31,47.5
2018-19,Wofford,W,70,1.12,0.96,56.8,45.2,21.5,12.9,35.7,26.5,25.4,17.5
2017-18,Texas A&M,L,78,0.84,1.11,37.2,60,7.7,18,17.3,20.6,9,35
2017-18,Lipscomb,W,77,1.09,0.85,59.2,41.4,23.3,16.8,30.3,13.9,30,23.4
2017-18,UVA,L,58,1.08,1.22,51,51,15.4,6.9,25.8,20.7,34.7,44
2017-18,Duke,W,72,1.03,0.96,44.4,46.3,18.1,25,39.1,36.4,21.1,42.6
2017-18,Miami,W,73,1.13,0.9,45.1,41.4,11,11,37,25.5,32.4,18.6
2017-18,Syracuse,W,66,1.18,0.89,49.1,38.1,16.7,18.2,41.7,37.2,49.1,22.2
2017-18,Duke,L,70,0.91,1.05,42.9,52.4,19.9,19.9,33.3,37.2,7.1,32.3
2017-18,Miami,L,69,1.28,1.32,65.8,63.7,18.9,14.5,39.3,31,35.1,21
2017-18,Syracuse,W,65,1.2,1.14,50.8,50,12.3,15.4,39.5,32.4,23.1,29.3
2017-18,Louisville,W,73,1.27,1.04,56.8,50.8,15.1,16.4,44.7,28.9,13.5,35.5
2017-18,Notre Dame,W,64,1.29,1.03,58.3,46.5,9.3,9.3,38.7,25,33.3,39.7
2017-18,NC State,W,79,1.21,1.13,60.6,60.2,24,13.9,46.9,21.2,18.3,29.7
2017-18,Duke,W,65,1.26,1.2,46.1,55.6,3.1,12.3,42.5,31.4,16.9,19.4
2017-18,Pittsburgh,W,73,1.32,0.9,59.3,46.7,15.2,22,48.5,26.2,24.3,25
2017-18,Clemson,L,68,1.15,1.21,53.2,51.6,16.2,14.8,38.2,35.7,22.6,44.3
2017-18,NC State,L,72,1.13,1.18,55.6,54.6,17.4,11.2,41.7,28.3,27.8,23.7
2017-18,Virginia Tech,L,68,1.01,1.18,50.8,57.1,19.1,13.2,27.8,28.6,7.9,19.1
2017-18,Georgia Tech,W,72,1.11,0.92,46.2,52.5,19.4,20.8,50,18.2,36.4,10
2017-18,Clemson,W,72,1.21,1.09,65.7,58,19.4,20.8,21.7,25,47.1,37.5
2017-18,Notre Dame,W,64,1.09,1.07,47.5,42.4,11,17.3,34.2,45.5,27.9,22.7
2017-18,Boston College,W,66,1.45,1,55.8,48.4,12.1,7.5,60.5,18.6,11.5,21
2017-18,UVA,L,59,0.83,1.04,37,52.8,32.3,18.7,48.7,30.3,20.4,17
2017-18,Florida State,L,73,1.1,1.11,47.4,58.8,9.6,20.6,37,25,11.7,38.6
2017-18,Wake Forest,W,74,0.99,0.93,44.9,48.4,16.2,9.4,31.8,10.3,26.5,25.4
2017-18,Ohio State,W,78,1.1,0.92,57,48.3,21.8,18,29,9.1,43.9,32.2
2017-18,Wofford,L,77,0.98,1.03,42.7,49.2,18.2,13,25,19.4,69.1,28.1
2017-18,Tennessee,W,72,1.09,1.02,47.8,44,22.4,18.2,47.5,41.9,28.4,25.4
2017-18,Western Carolina,W,79,1.32,0.77,69.2,42.6,21.5,19,41.9,14.9,32.3,8.8
2017-18,Tulane,W,76,1.28,0.97,69.8,44.9,17.2,10.6,34.6,20,50,23.2
2017-18,Davidson,W,71,1.19,1.05,50.7,51.6,15.4,9.8,50,10.3,33.8,15.6
2017-18,Michigan,W,70,1.23,1.02,60.5,50,17.2,14.3,35.7,32.5,25.8,16.7
2017-18,Michigan State,L,72,0.62,0.87,25.4,49.1,22.1,33.2,28.3,40,39.3,23.6
2017-18,Arkansas,W,76,1.15,0.9,55.6,43.8,18.4,11.9,34.4,20.4,33.3,11.1
2017-18,Portland,W,83,1.23,0.94,56.4,48.6,15.6,16.8,41,22.2,25.6,13.7
2017-18,Stanford,W,83,1.16,0.87,58.2,49.1,16.9,23,28.6,17.9,20.6,50
2017-18,Bucknell,W,78,1.19,1.04,51.5,54.8,16.6,16.6,43.2,18.4,50,28.6
2017-18,Northern Iowa,W,70,1.24,0.99,54.8,53.6,10.1,20.1,29,20,33.9,27.3
2016-17,Gonzaga,W,74,0.96,0.88,38.4,40.7,5.4,19,28.9,27.9,35.6,44.1
2016-17,Oregon,W,75,1.03,1.01,42.6,44,14.7,21.3,35.4,31.6,39.7,48.3
2016-17,Kentucky,W,73,1.03,1,49.1,46.9,22,12.4,36.1,26.2,44.8,29.2
2016-17,Butler,W,73,1.26,1.1,62.3,50,13.7,12.4,35.7,22.2,57.9,33.9
2016-17,Arkansas,W,74,0.97,0.87,42.1,50,22.9,25.6,42.9,22.9,39.7,13.3
2016-17,Texas Southern,W,76,1.36,0.84,56,42.5,13.2,17.1,48.8,15,34.7,26.7
2016-17,Duke,L,74,1.12,1.26,44.2,60,13.5,14.8,44.9,19.2,23.1,74
2016-17,Miami,W,64,1.22,0.83,59.4,40.6,17.2,23.4,33.3,28.9,34,30.2
2016-17,Duke,W,72,1.25,1.15,55.2,50.9,12.4,11.1,34.3,25.8,31.3,64.8
2016-17,UVA,L,55,0.79,0.97,39.6,40.7,25.7,7.3,31.2,31.7,14.6,13.6
2016-17,Pittsburgh,W,65,1.31,1.04,52,46.9,12.4,18.6,55.8,27.3,20.6,62.5
2016-17,Louisville,W,73,1.01,0.86,42.7,48.4,16.3,21.8,39,21.1,46.8,21.3
2016-17,UVA,W,61,1.07,0.68,52.6,29.6,14.9,9.9,32.3,12.8,12.1,22.2
2016-17,NC State,W,72,1.36,1.02,60.7,51.9,15.4,23.7,52.9,28.1,10.7,46.1
2016-17,Duke,L,68,1.15,1.27,55.7,64,7.4,14.8,22.6,23.3,29.5,28.1
2016-17,Notre Dame,W,68,1.22,1.12,54.1,52.7,16.2,13.2,48.6,20.6,45.9,35.7
2016-17,Pittsburgh,W,60,1.33,1.3,57.8,67.6,13.3,16.6,46.9,27.3,32.8,9.3
2016-17,Miami,L,70,0.88,1.1,40.8,47.3,20,14.3,28.6,31.4,31.7,53.6
2016-17,Virginia Tech,W,65,1.39,1.1,58.9,59.8,10.7,15.3,51.4,14.3,12.3,35.3
2016-17,Boston College,W,75,1.2,1.09,51.6,55.9,16,20,43.2,27,45.3,10.3
2016-17,Syracuse,W,68,1.26,1,56.6,52.5,13.3,19.2,50,18.8,22.1,11.9
2016-17,Florida State,W,85,1.13,0.98,48,53,17.6,17.6,45.6,20.4,50.7,38.8
2016-17,Wake Forest,W,75,1.24,1.16,57.8,51.5,14.7,14.7,38.2,31.7,37.5,43.1
2016-17,NC State,W,85,1.26,0.66,57,42.1,14.1,30.6,39.5,23.3,31.6,17.5
2016-17,Clemson,W,70,1.13,1.09,51.3,53.7,22.8,15.2,51.1,26.3,15.4,27.9
2016-17,Georgia Tech,L,78,0.81,0.96,36.8,44.3,25.6,20.5,39.6,24.2,19.4,62.3
2016-17,Monmouth,W,88,1.16,0.85,47.9,39.3,19.4,17.1,46.7,25,63.9,37.1
2016-17,Northern Iowa,W,66,1.28,0.63,57.7,39.6,7.5,25.7,34.4,8.8,24.6,16.7
2016-17,Kentucky,L,79,1.27,1.31,59.9,60.8,11.4,12.7,29.4,37.5,42.4,28.4
2016-17,Tennessee,W,71,1.02,1,41.1,54.6,14,22.4,46.8,26.9,32.9,27.8
2016-17,Davidson,W,78,1.06,0.95,45.9,47.5,19.2,21.8,35.9,21.6,55.7,35.6
2016-17,Radford,W,77,1.23,0.65,59.2,35.5,16.8,24.6,41.7,17.8,44.6,16.1
2016-17,Indiana,L,72,0.94,1.06,44.3,55.8,16.8,22.3,30.9,25,36.1,51.9
2016-17,Wisconsin,W,67,1.06,0.83,51.8,45.5,17.9,16.4,24.1,11.4,21.1,18.2
2016-17,Oklahoma State,W,78,1.37,0.96,64.1,40.3,20.6,18,55.2,40.4,45.3,31.9
2016-17,Chaminade,W,76,1.37,0.8,63.3,44.8,17.1,22.4,50,14.6,53.1,24.1
2016-17,Hawai'i,W,72,1.16,0.95,53.7,49.2,22.3,19.5,54.3,20.6,22.4,18.3
2016-17,Long Beach State,W,76,1.22,0.88,57.5,40.9,17,18.3,40,27.9,58.3,28.8
2016-17,Chattanooga,W,78,1.24,0.73,53.6,40.5,19.2,33.2,56.4,34.1,45.7,14.3
2016-17,Tulane,W,76,1.25,0.99,55.8,43.1,17.1,15.8,46.1,33.3,36.2,26.4
2015-16,Villanova,L,64,1.15,1.2,51.6,66.7,17.1,15.6,43.2,9.1,20.6,35.4
2015-16,Syracuse,W,66,1.25,1,56.9,47,18.1,15.1,51.6,37.2,16.9,19.7
2015-16,Notre Dame,W,57,1.54,1.3,65.4,64.3,10.5,12.3,56.5,20.8,46.1,28.6
2015-16,Indiana,W,71,1.42,1.21,60.5,51.6,12.7,16.9,46.9,40.5,53.2,42.6
2015-16,Providence,W,70,1.21,0.94,55.9,45.6,21.3,15.6,46.4,23.7,35.6,40.4
2015-16,Florida Gulf-Coast,W,70,1.19,0.96,47.3,44.8,10,20.1,39.1,39.5,26,41.4
2015-16,UVA,W,58,1.05,0.98,54.3,42.9,17.1,17.1,20,41,27.7,4.8
2015-16,Notre Dame,W,69,1.14,0.69,47.8,35,14.6,24.8,44.2,18.9,27.5,34
2015-16,Pittsburgh,W,67,1.32,1.06,64.3,49.1,15,18,36.4,33.3,32.1,46.3
2015-16,Duke,W,72,1.06,1.01,38.4,47,19.6,8.4,56.2,17.8,31.5,22.4
2015-16,Syracuse,W,70,1.06,0.99,45.6,45.5,18.4,21.3,46.3,36.4,27.9,41.1
2015-16,UVA,L,66,1.13,1.21,56.8,50,19.8,12.2,39.4,36.1,22,34.4
2015-16,NC State,W,66,1.21,1.03,50,41.5,12.1,15.1,47.2,39.5,22.1,26.1
2015-16,Miami,W,68,1.41,1.04,60.4,47.5,13.2,16.1,55.9,34.1,18.1,44.1
2015-16,Duke,L,69,1.06,1.08,43.6,46.9,14.5,10.2,43.9,28.2,21.4,24.6
2015-16,Pittsburgh,W,72,1.18,0.89,66.7,44,15.2,26.3,4.3,40.4,27.8,19.4
2015-16,Boston College,W,66,1.03,0.99,56.7,49.1,19.7,21.2,22.2,24.2,23.1,27.8
2015-16,Notre Dame,L,67,1.14,1.2,50.9,37.1,19.6,3,42.9,43.5,35.6,57.6
2015-16,Louisville,L,71,0.92,1,37.1,47.5,22.6,21.2,38.1,39.5,50,35
2015-16,Boston College,W,76,1.18,0.82,58.2,53.9,14.6,30.4,33.3,12.9,32.8,15.4
2015-16,Virginia Tech,W,73,1.03,0.96,39.9,48,9.6,19.2,42.5,17.6,33.8,64
2015-16,Wake Forest,W,80,1.03,0.85,40.4,41.8,12.4,23.6,36.7,34.8,46.6,29.9
2015-16,NC State,W,62,1.08,0.89,41.7,43.6,14.5,29.1,51.2,50,28.8,18.2
2015-16,Syracuse,W,69,1.23,1.06,54.9,50,13.1,18.9,32.3,37.8,32.8,19.1
2015-16,Florida State,W,88,1.2,1.02,54,48.5,18.1,15.9,45,25.6,42.1,50
2015-16,Georgia Tech,W,74,1.16,1.05,52.5,47.7,14.8,12.1,30,21.1,49.1,29.7
2015-16,Clemson,W,68,1.19,1.02,53.9,46.2,17.8,19.3,45.5,32.4,21.9,49.1
2015-16,UNC-G,W,69,1.4,0.92,60,51.8,14.5,21.8,55.2,25,33.9,19.3
2015-16,Appalachian State,W,74,1.27,0.95,49.3,50.8,14.9,25.7,53.9,33.3,37.5,21.3
2015-16,UCLA,W,73,1.22,1.04,55.1,52.4,11,23.4,36.1,41,27.5,28.6
2015-16,Tulane,W,71,1.36,1.02,56.9,50.8,9.9,15.5,43.6,29.7,29.2,22.2
2015-16,Texas,L,65,1.26,1.29,58,56.5,9.2,12.3,16.7,41,56,37.1
2015-16,Davidson,W,82,1.2,0.8,56,40.3,18.4,17.1,38.5,15.9,22.7,19.4
2015-16,Maryland,W,78,1.14,1.04,60.5,61,19.2,28.2,33.3,27.6,40.3,18.6
2015-16,Kansas State,W,72,1.11,0.97,51.6,46.8,16.6,16.6,37.5,24.4,32.3,30.6
2015-16,Northwestern,W,67,1.19,1.03,50.8,51,13.4,17.9,40.6,18.8,30.6,36.5
2015-16,Northern Iowa,L,67,1.01,1.07,49.1,51.8,18,9,27.3,16.2,22.4,33.3
2015-16,Wofford,W,71,1.1,0.82,52.4,48.2,17,21.2,35.5,13.9,30.6,8.8
2015-16,Fairfield,W,77,1.2,0.85,56.1,43.1,13,24.8,36.8,32.6,48.5,23.1
2015-16,Temple,W,70,1.29,0.95,56,46,12.8,11.3,39.5,20.9,34.3,27.4
2014-15,Wisconsin,L,60,1.21,1.32,53.6,52.7,6.7,8.4,28.1,38.7,32.1,41.1
2014-15,Arkansas,W,78,1.12,1,48.3,43.1,20.6,27,47.2,44.4,61.7,41.5
2014-15,Harvard,W,60,1.12,1.09,60.2,42.7,28.4,11.7,46.1,34.3,26.5,36.4
2014-15,Notre Dame,L,69,1.19,1.31,58.3,64.6,18.9,18.9,41.9,34.8,10.6,66.7
2014-15,UVA,W,67,1.07,1.01,63.1,49,27,19.5,28,21.9,64.3,38.5
2014-15,Louisville,W,70,1,0.86,46.6,38.1,17.2,18.6,30.3,34.9,28.8,31.8
2014-15,Boston College,W,67,1.21,0.94,53.1,43.4,11.9,10.4,38.2,11.8,24.6,41.5
2014-15,Duke,L,68,1.13,1.23,55.2,53.4,23.4,14.7,37.9,40,22.4,44.1
2014-15,Georgia Tech,W,69,1.17,0.71,57.8,33.6,15.9,26,33.3,36.4,17.2,32.8
2014-15,Miami,W,71,1.04,0.91,50,48.2,21.3,18.4,33.3,16.2,36.8,26.8
2014-15,NC State,L,60,0.76,0.96,37.3,41.2,19.9,14.9,28.2,32.5,16.4,28.1
2014-15,Georgia Tech,W,68,1.32,0.89,66.4,43.3,11.8,16.3,28,26.8,18,28.3
2014-15,Duke,L,74,1.08,1.1,47,58.5,13.2,19.1,36.5,30.2,24.1,47.7
2014-15,Pittsburgh,L,62,1.23,1.43,52.5,71.9,6.5,8.1,36.4,24,39,22.8
2014-15,Boston College,W,67,1.17,1.01,57.8,49.1,20.8,16.3,42.9,21.9,52.9,33.9
2014-15,UVA,L,64,0.99,1.17,48.2,56.2,20.2,12.4,36.7,25.8,23.2,32.1
2014-15,Louisville,L,67,0.9,1.04,47.5,39.2,25.3,14.6,35.1,41.5,33.3,67.7
2014-15,Syracuse,W,80,1.17,1.04,63.4,47.8,25.1,13.8,39.3,24.4,53.6,33.8
2014-15,Florida State,W,67,1.16,1.1,50,50.8,7.4,14.9,33.3,31.4,46.7,27.9
2014-15,Wake Forest,W,73,1.19,0.97,62.9,45.8,16.4,19.1,25,30.9,37.9,43.3
2014-15,Virginia Tech,W,68,1,0.78,48.3,45.3,24.9,20.5,47.1,10.8,28.8,20.8
2014-15,NC State,W,69,1.18,1.15,60.2,47.7,18.9,14.6,32.1,42.9,42.6,33.3
2014-15,Louisville,W,67,1.08,1.06,47,52.5,18,16.5,44.7,28.1,16.4,18.6
2014-15,Notre Dame,L,62,1.13,1.15,40,56,11.3,12.9,51.2,21.4,38.5,38
2014-15,Clemson,W,61,1.21,0.82,48.4,34,9.8,13.1,44.4,23.3,27,39.6
2014-15,William & Mary,W,71,1.21,0.9,57.4,44.3,16.9,18.3,36.4,17.9,37.7,45.3
2014-15,UAB,W,77,1.16,0.76,55.8,33,23.5,23.5,45.5,34.1,51.7,47.5
2014-15,Ohio State,W,77,1.06,0.96,46.9,41.7,19.4,13,40.9,28.6,50.8,25
2014-15,UNC-G,W,70,1.13,0.8,51.6,40.2,24.2,18.5,55.6,24.4,37.7,46.4
2014-15,Kentucky,L,67,1.05,1.26,50,63.5,28.5,22.5,58.1,45.8,20,64.6
2014-15,East Carolina,W,77,1.41,0.83,60.7,36.2,10.4,13,48.4,26.5,29.3,27.5
2014-15,Iowa,L,62,0.89,0.97,30.9,35.5,16.2,19.4,49,43.6,25,43.6
2014-15,Florida,W,69,1.08,0.92,51,37.7,27.4,23.1,44.1,43.2,60.8,37.7
2014-15,UCLA,W,74,1.06,0.76,47.8,39.8,14.9,31.1,30.9,29,28.4,75
2014-15,Butler,L,76,0.86,0.97,42.1,36.8,24.8,24.8,33.3,52.7,56.1,40.3
2014-15,Davidson,W,73,1.23,0.98,52.2,41.2,12.3,13.7,41.9,34,40.6,17.6
2014-15,Robert Morris,W,74,1.39,0.79,53.5,41,10.8,24.2,52.6,30.9,50.7,22.9
2014-15,NC Central,W,73,1.04,0.82,45.9,36.6,19.2,19.2,45.7,25,49.2,51.8
2013-14,Iowa State,L,78,1.06,1.09,52.9,53,15.4,17.9,31.6,29.7,21.4,31.8
2013-14,Providence,W,65,1.22,1.19,49.3,56.6,13.9,15.5,55.3,32.1,18.3,39.6
2013-14,Pittsburgh,L,76,0.99,1.06,44.3,56.7,15.8,19.8,26.2,33.3,52.5,78.8
2013-14,Duke,L,68,1.19,1.36,64.4,57.9,19,19,25,53.3,36.5,54.4
2013-14,Notre Dame,W,64,0.98,0.95,49.1,53.9,15.6,20.3,31.4,20,40.7,23.1
2013-14,Virginia Tech,W,60,1,0.94,46.4,43.3,11.7,20.1,28.9,24.1,32.7,46.7
2013-14,NC State,W,65,1.17,1.16,50.8,52.4,16.5,13.8,46.3,37.5,47,50
2013-14,Wake Forest,W,73,1.45,0.99,66.4,54.5,13.8,19.3,41.4,23.3,47.5,40
2013-14,Duke,W,69,1.08,0.96,49.1,46.8,18.9,17.5,44.1,28.2,56.4,19.1
2013-14,Florida State,W,69,1.18,1.09,53.9,47.4,13.1,11.6,38.9,26.3,31.2,48.3
2013-14,Pittsburgh,W,71,1.06,1,49.2,43.8,18.3,19.8,41,41.5,41,35.9
2013-14,Notre Dame,W,67,1.09,0.93,46.7,50.9,16.4,25.4,40.5,31.2,34.4,18.2
2013-14,Maryland,W,73,1.03,0.87,54.9,44.6,19.3,22.1,31.4,21.6,72.5,35.7
2013-14,NC State,W,77,1.09,0.91,42.8,42.4,16.9,15.6,47.8,28.6,47.8,39.4
2013-14,Georgia Tech,W,69,1.13,0.94,48.4,45.5,8.7,14.5,32.5,15.8,36.5,47.3
2013-14,Clemson,W,61,1.31,1,62.5,39.6,19.7,16.4,48.3,41,33.9,47.2
2013-14,UVA,L,62,0.98,1.22,44.4,55.6,17.7,12.8,41.5,38.9,19.1,53.7
2013-14,Boston College,W,70,1.17,1.01,56.4,55.2,17.1,25.6,29,33.3,54.5,54.2
2013-14,Syracuse,L,60,0.75,0.96,41.2,38.3,23.4,16.8,29.4,40.5,17.6,25
2013-14,Miami,L,66,0.87,0.96,34.6,47,16.7,19.7,40.8,29,30.8,52
2013-14,Wake Forest,L,74,0.91,0.99,40,50,23,17.6,48,21.6,14.7,61.1
2013-14,UNC-Wilmington,W,69,1.22,0.74,54.6,33.6,23.1,24.6,57.6,37.2,26.1,21.3
2013-14,NKU,W,72,1.05,0.84,52.9,37.1,19.5,11.2,26.7,22.7,60.8,24.2
2013-14,Davidson ,W,78,1.1,0.97,50.8,52.2,17.1,25,35.3,30.2,75.8,35.3
2013-14,Texas,L,80,1.04,1.08,45.4,45.8,10,15,32.6,42.5,72.3,45.8
2013-14,Kentucky,W,74,1.1,1.04,50,44.4,12.1,22.9,30.8,46,80.4,79.6
2013-14,UNC-G,W,68,1.2,0.74,49.2,43.9,19.2,31,54.8,28.1,39.4,26.5
2013-14,Michigan State,W,74,1.07,0.88,46.1,41.4,17.5,18.9,39,28.3,41.5,28.1
