season,date,opponent,location,type,longtype,result,unc,opp,OT,box
2018-19,14-Mar-19,Louisville,neutral,ACC Tournament,ACC Tournament Quarterfinal,W,83,70,,https:///dadgumboxscores.com/boxes/2019/unc-83-lville-70.pdf
2018-19,9-Mar-19,Duke,home,League,League,W,79,70,,https:///dadgumboxscores.com/boxes/2019/unc-79-duke-70.pdf
2018-19,5-Mar-19,Boston College,away,League,League,W,79,66,,https:///dadgumboxscores.com/boxes/2019/unc-79-bc-66.pdf
2018-19,2-Mar-19,Clemson,away,League,League,W,81,79,,https:///dadgumboxscores.com/boxes/2019/unc-81-clem-79.pdf
2018-19,26-Feb-19,Syracuse,home,League,League,W,93,85,,https:///dadgumboxscores.com/boxes/2019/unc-93-cuse-85.pdf
2018-19,23-Feb-19,Florida State,home,League,League,W,77,59,,https:///dadgumboxscores.com/boxes/2019/unc-77-fsu-59.pdf
2018-19,20-Feb-19,Duke,away,League,League,W,88,72,,https:///dadgumboxscores.com/boxes/2019/unc-88-duke-72.pdf
2018-19,16-Feb-19,Wake Forest,away,League,League,W,95,57,,https:///dadgumboxscores.com/boxes/2019/unc-95-wake-57.pdf
2018-19,11-Feb-19,UVA,home,League,League,L,61,69,,https:///dadgumboxscores.com/boxes/2019/uva-69-unc-61.pdf
2018-19,9-Feb-19,Miami,home,League,League,W,88,85,OT,https:///dadgumboxscores.com/boxes/2019/unc-88-miami-85.pdf
2018-19,5-Feb-19,NC State,home,League,League,W,113,96,,https:///dadgumboxscores.com/boxes/2019/unc-113-ncsu-96.pdf
2018-19,2-Feb-19,Louisville,away,League,League,W,79,69,,https:///dadgumboxscores.com/boxes/2019/unc-79-lville-69.pdf
2018-19,29-Jan-19,Georgia Tech,away,League,League,W,77,54,,https:///dadgumboxscores.com/boxes/2019/unc-77-gt-54.pdf
2018-19,21-Jan-19,Virginia Tech,home,League,League,W,103,82,,https:///dadgumboxscores.com/boxes/2019/unc-103-vt-82.pdf
2018-19,19-Jan-19,Miami,away,League,League,W,85,76,,https:///dadgumboxscores.com/boxes/2019/unc-85-um-76.pdf
2018-19,15-Jan-19,Notre Dame,home,League,League,W,75,69,,https:///dadgumboxscores.com/boxes/2019/unc-75-nd-69.pdf
2018-19,12-Jan-19,Louisville,home,League,League,L,62,83,,https:///dadgumboxscores.com/boxes/2019/lville-83-unc-62.pdf
2018-19,8-Jan-19,NC State,away,League,League,W,90,82,,https:///dadgumboxscores.com/boxes/2019/unc-90-ncsu-82.pdf
2018-19,5-Jan-19,Pittsburgh,away,League,League,W,85,60,,https:///dadgumboxscores.com/boxes/2019/unc-85-pitt-60.pdf
2018-19,2-Jan-19,Harvard,home,Non-Conference,Non-Conference,W,77,57,,https:///dadgumboxscores.com/boxes/2019/unc-77-harvard-57.pdf
2018-19,29-Dec-18,Davidson,home,Non-Conference,Non-Conference,W,82,60,,https:///dadgumboxscores.com/boxes/2019/unc-82-dav-60.pdf
2018-19,22-Dec-18,Kentucky,neutral,Non-Conference,Non-Conference,L,72,80,,https:///dadgumboxscores.com/boxes/2019/kentucky-80-unc-72.pdf
2018-19,15-Dec-18,Gonzaga,home,Non-Conference,Non-Conference,W,103,90,,https:///dadgumboxscores.com/boxes/2019/unc-103-gonzaga-90.pdf
2018-19,5-Dec-18,UNC-Wilmington,home,Non-Conference,Non-Conference,W,97,69,,https:///dadgumboxscores.com/boxes/2019/unc-97-uncw-69.pdf
2018-19,28-Nov-18,Michigan,away,Non-Conference,Non-Conference,L,67,84,,https:///dadgumboxscores.com/boxes/2019/mich-84-unc-67.pdf
2018-19,23-Nov-18,UCLA,neutral,Non-Conference,Non-Conference (Las Vegas Invitational),W,94,78,,https:///dadgumboxscores.com/boxes/2019/unc-94-ucla-78.pdf
2018-19,22-Nov-18,Texas,neutral,Non-Conference,Non-Conference (Las Vegas Invitational),L,89,92,,https:///dadgumboxscores.com/boxes/2019/texas-92-unc-89.pdf
2018-19,19-Nov-18,St. Francis PA,home,Non-Conference,Non-Conference (Las Vegas Invitational),W,101,76,,https:///dadgumboxscores.com/boxes/2019/unc-101-sf-76.pdf
2018-19,16-Nov-18,Tennessee Tech,home,Non-Conference,Non-Conference (Las Vegas Invitational),W,108,58,,https:///dadgumboxscores.com/boxes/2019/unc-108-tt-58.pdf
2018-19,12-Nov-18,Stanford,home,Non-Conference,Non-Conference,W,90,72,,https:///dadgumboxscores.com/boxes/2019/unc-90-stan-72.pdf
2018-19,9-Nov-18,Elon,away,Non-Conference,Non-Conference,W,116,67,,https:///dadgumboxscores.com/boxes/2019/unc-116-elon-67.pdf
2018-19,5-Nov-18,Wofford,away,Non-Conference,Non-Conference,W,78,67,,https:///dadgumboxscores.com/boxes/2019/unc-78-woff-67.pdf
2017-18,18-Mar-18,Texas A&M,neutral,NCAA Tournament,NCAA Tournament 2nd Round,L,65,85,,https:///dadgumboxscores.com/boxes/2018/unc-65-tam-85.pdf
2017-18,16-Mar-18,Lipscomb,neutral,NCAA Tournament,NCAA Tournament 1st Round,W,84,66,,https:///dadgumboxscores.com/boxes/2018/unc-84-ls-66.pdf
2017-18,10-Mar-18,UVA,neutral,ACC Tournament,ACC Tournament Final,L,63,71,,https:///dadgumboxscores.com/boxes/2018/uva-71-unc-63.pdf
2017-18,9-Mar-18,Duke,neutral,ACC Tournament,ACC Tournament Semifinal,W,74,69,,https:///dadgumboxscores.com/boxes/2018/unc-74-duke-69.pdf
2017-18,8-Mar-18,Miami,neutral,ACC Tournament,ACC Tournament Quarterfinal,W,82,65,,https:///dadgumboxscores.com/boxes/2018/unc-82-um-65.pdf
2017-18,7-Mar-18,Syracuse,neutral,ACC Tournament,ACC Tournament 2nd Round,W,78,59,,https:///dadgumboxscores.com/boxes/2018/unc-78-cuse-59.pdf
2017-18,3-Mar-18,Duke,away,League,League,L,64,74,,https:///dadgumboxscores.com/boxes/2018/duke-74-unc-64.pdf
2017-18,27-Feb-18,Miami,home,League,League,L,88,91,,https:///dadgumboxscores.com/boxes/2018/um-91-unc-88.pdf
2017-18,21-Feb-18,Syracuse,away,League,League,W,78,74,,https:///dadgumboxscores.com/boxes/2018/unc-78-cuse-74.pdf
2017-18,17-Feb-18,Louisville,away,League,League,W,93,76,,https:///dadgumboxscores.com/boxes/2018/unc-93-lville-76.pdf
2017-18,12-Feb-18,Notre Dame,home,League,League,W,83,66,,https:///dadgumboxscores.com/boxes/2018/unc-83-nd-66.pdf
2017-18,10-Feb-18,NC State,away,League,League,W,96,89,,https:///dadgumboxscores.com/boxes/2018/unc-96-ncsu-89.pdf
2017-18,8-Feb-18,Duke,home,League,League,W,82,78,,https:///dadgumboxscores.com/boxes/2018/unc-82-duke-78.pdf
2017-18,3-Feb-18,Pittsburgh,home,League,League,W,96,65,,https:///dadgumboxscores.com/boxes/2018/unc-96-pitt-65.pdf
2017-18,30-Jan-18,Clemson,away,League,League,L,78,82,,https:///dadgumboxscores.com/boxes/2018/clem-82-unc-78.pdf
2017-18,27-Jan-18,NC State,home,League,League,L,91,95,OT,https:///dadgumboxscores.com/boxes/2018/ncsu-95-unc-91.pdf
2017-18,22-Jan-18,Virginia Tech,away,League,League,L,69,80,,https:///dadgumboxscores.com/boxes/2018/vt-80-unc-69.pdf
2017-18,20-Jan-18,Georgia Tech,home,League,League,W,80,66,,https:///dadgumboxscores.com/boxes/2018/unc-80-gt-66.pdf
2017-18,16-Jan-18,Clemson,home,League,League,W,87,79,,https:///dadgumboxscores.com/boxes/2018/unc-87-clem-79.pdf
2017-18,13-Jan-18,Notre Dame,away,League,League,W,69,68,,https:///dadgumboxscores.com/boxes/2018/unc-69-nd-68
2017-18,9-Jan-18,Boston College,home,League,League,W,96,66,,https:///dadgumboxscores.com/boxes/2018/unc-96-bc-66.pdf
2017-18,6-Jan-18,UVA,away,League,League,L,49,61,,https:///dadgumboxscores.com/boxes/2018/uva-61-unc-49
2017-18,3-Jan-18,Florida State,away,League,League,L,80,81,,https:///dadgumboxscores.com/boxes/2018/fsu-81-unc-80.pdf
2017-18,30-Dec-17,Wake Forest,home,League,League,W,73,69,,https:///dadgumboxscores.com/boxes/2018/unc-73-wake-69.pdf
